City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,utrik,11.2278,169.8474,27.84,83,96,6.43,MH,1684714791
83,malanje,-9.5402,16.341,18.4,81,38,0.58,AO,1684714791
84,luderitz,-26.6481,15.1594,14.48,59,37,4.84,NA,1684714791
85,merizo village,13.2658,144.6691,30.32,83,99,6.11,GU,1684715012
86,korla,41.7597,86.1469,19.16,31,21,1.66,CN,1684714792
87,tazovsky,67.4667,78.7,1.44,91,85,5.49,RU,1684715012
88,wailua homesteads,22.0669,-159.378,27.44,74,40,4.63,US,1684715012
89,peterhead,57.5058,-1.7981,9.69,96,99,1.69,GB,1684715012
90,pekanbaru,0.5333,101.45,24.27,97,81,0.36,ID,1684715012
91,poxoreo,-15.8372,-54.3892,21.52,55,20,2.16,BR,1684715013
92,bilibino,68.0546,166.4372,7.53,55,59,8.36,RU,1684715013
93,akureyri,65.6835,-18.0878,3.96,65,0,7.2,IS,1684715013
94,nar'yan-mar,67.6713,53.087,10.29,77,70,3.04,RU,1684714793
95,avarua,-21.2078,-159.775,28.03,74,75,6.69,CK,1684714793
96,camarinas,43.1311,-9.1817,16.21,88,33,9.26,ES,1684715013
97,isafjordur,66.0755,-23.124,3.78,71,67,5.4,IS,1684715014
98,kingston,17.997,-76.7936,26.78,97,45,0.45,JM,1684714473
99,bamboo flat,11.7,92.7167,28.08,74,26,3.3,IN,1684715014
100,albina,5.5,-54.05,24.25,98,100,1.23,SR,1684715014
101,keflavik,64.0049,-22.5624,3.95,87,75,6.17,IS,1684715014
102,olonkinbyen,70.9221,-8.7187,1.52,98,97,7.8,SJ,1684714795
103,hun,29.1268,15.9477,19.75,50,0,3.54,LY,1684715015
104,pyshma,56.9523,63.2513,11.47,44,2,1.7,RU,1684715015
105,namibe,-15.1961,12.1522,20.14,80,2,2.67,AO,1684715015
106,buka,40.8108,69.1986,19.38,32,2,1.24,UZ,1684715016
107,dno,57.8277,29.9637,11.73,76,96,1.08,RU,1684715016
108,port shepstone,-30.7414,30.455,16.84,59,9,9.57,ZA,1684715016
109,hermanus,-34.4187,19.2345,12.24,71,100,4.38,ZA,1684715016
110,paramonga,-10.6667,-77.8333,21.83,81,70,4.61,PE,1684714797
111,gulf shores,30.246,-87.7008,27.22,66,100,0.89,US,1684715017
112,alwar,27.5667,76.6,32.99,23,9,6.97,IN,1684714797
113,anadyr,64.75,177.4833,2.28,93,20,2.0,RU,1684715017
114,aflou,34.1128,2.1023,13.67,51,98,8.12,DZ,1684714798
115,rio grande,-32.035,-52.0986,18.06,93,100,3.26,BR,1684714798
116,korkuteli,37.065,30.1957,10.81,89,100,1.16,TR,1684715018
117,beyneu,45.3167,55.2,22.43,46,95,4.47,KZ,1684714798
118,thompson,55.7435,-97.8558,15.09,26,40,3.6,CA,1684715018
119,lebu,-37.6167,-73.65,11.21,87,9,2.42,CL,1684715018
120,chonchi,-42.6128,-73.8092,6.18,91,100,0.48,CL,1684715019
121,blackmans bay,-43.0167,147.3167,15.07,69,83,4.25,AU,1684715019
122,vila velha,-20.3297,-40.2925,21.08,89,20,1.03,BR,1684714728
123,sastobe,42.55,70.0,15.94,54,24,3.43,KZ,1684714799
124,puerto ayora,-0.7393,-90.3518,25.86,90,63,4.02,EC,1684715019
125,sao vicente,-23.9631,-46.3919,23.1,26,89,0.45,BR,1684715020
126,vilyuchinsk,52.9306,158.4028,4.15,96,100,1.95,RU,1684714800
127,masterton,-40.9597,175.6575,14.38,69,99,2.31,NZ,1684715020
128,urangan,-25.3,152.9,20.33,57,0,7.15,AU,1684715020
129,robbah,33.2797,6.9098,21.8,25,2,4.46,DZ,1684715020
130,west island,-12.1568,96.8225,26.99,89,26,1.54,CC,1684715020
131,port-vila,-17.7338,168.3219,25.78,83,100,1.03,VU,1684714762
132,illapel,-31.6308,-71.1653,15.39,72,100,1.45,CL,1684715021
133,enewetak,11.3474,162.3373,27.82,78,57,5.16,MH,1684714801
134,hammerfest,70.6634,23.6821,7.25,76,20,3.09,NO,1684715021
135,dunda,-8.1167,34.25,16.12,92,33,1.55,TZ,1684714993
136,jabor,5.921,169.6434,28.18,80,94,5.31,MH,1684715022
137,karelichy,53.5653,26.1378,12.85,68,91,1.47,BY,1684715022
138,dzhalagash,45.0833,64.6667,18.59,41,1,3.05,KZ,1684715022
139,tionk essil,12.7856,-16.5217,27.03,63,69,3.83,SN,1684715022
140,happy valley-goose bay,53.3168,-60.3315,2.17,93,100,2.57,CA,1684714916
141,puerto baquerizo moreno,-0.9,-89.6,24.96,77,73,4.77,EC,1684714803
142,tura,25.5198,90.2201,20.63,90,9,1.45,IN,1684714803
143,xai-xai,-25.0519,33.6442,18.93,79,0,2.79,MZ,1684714803
144,gornozavodsk,58.3758,58.3211,11.53,74,78,0.39,RU,1684714803
145,kodiak,57.79,-152.4072,7.73,87,100,5.66,US,1684715023
146,krasnovishersk,60.4078,57.082,10.43,81,85,1.37,RU,1684715023
147,port blair,11.6667,92.75,28.07,74,27,3.42,IN,1684714804
148,hithadhoo,-0.6,73.0833,28.26,72,2,0.41,MV,1684714804
149,huarmey,-10.0681,-78.1522,22.4,80,49,4.18,PE,1684714810
150,sao martinho,39.5144,-9.1311,15.07,83,98,1.61,PT,1684715024
151,yanykurgan,43.915,67.2481,20.34,32,8,3.81,KZ,1684714810
152,pisco,-13.7,-76.2167,21.03,73,0,5.66,PE,1684714810
153,usinsk,65.9939,57.5281,8.9,69,85,4.31,RU,1684715024
154,johi,26.6921,67.6133,31.98,48,39,4.18,PK,1684714811
155,kapa'a,22.0752,-159.319,28.18,74,40,4.63,US,1684715025
156,struer,56.4912,8.5838,14.26,83,17,3.83,DK,1684715025
157,east london,-33.0153,27.9116,15.49,67,75,6.12,ZA,1684715025
158,malakal,9.5334,31.6605,31.45,18,37,0.77,SS,1684715026
159,grants,35.1473,-107.8514,21.13,28,0,4.12,US,1684714812
160,puerto carreno,6.189,-67.4859,27.2,79,100,1.27,CO,1684714812
161,malvan,16.0667,73.4667,27.87,79,36,2.12,IN,1684715026
162,komsomolets,53.7453,62.0708,12.65,50,5,1.8,KZ,1684714812
163,nova sintra,14.8667,-24.7167,20.31,80,98,8.93,CV,1684715027
164,vadso,70.0744,29.7487,9.49,71,75,3.6,NO,1684715027
165,klaksvik,62.2266,-6.589,8.51,86,96,11.44,FO,1684714813
166,fort st. john,56.2499,-120.8529,22.94,33,75,6.17,CA,1684715027
167,tralee,52.2704,-9.7026,10.8,95,100,2.74,IE,1684715027
168,kidal,18.4411,1.4078,33.38,17,62,6.5,ML,1684715028
169,fallon,39.4735,-118.7774,23.93,31,0,11.83,US,1684714548
170,aasiaat,68.7098,-52.8699,-4.84,79,96,2.57,GL,1684714814
171,remire-montjoly,4.9167,-52.2667,25.02,94,75,2.06,GF,1684714814
172,necochea,-38.5473,-58.7368,15.92,79,84,5.55,AR,1684714359
173,sol'tsy,58.1239,30.3238,11.92,77,93,1.5,RU,1684715028
174,hasaki,35.7333,140.8333,24.05,85,99,3.69,JP,1684714815
175,yuzhno-kurilsk,44.0306,145.8556,10.51,88,81,0.97,RU,1684714815
176,papao,-17.75,-149.55,29.82,78,1,4.81,PF,1684715029
177,vallenar,-28.5708,-70.7581,17.21,52,100,1.25,CL,1684715029
178,rio bueno,-40.3167,-72.9667,9.08,92,94,2.3,CL,1684715029
